playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,class
aardsda01,2004,2015,NULL,0,0,0,296,160,41,183,340,0
aaronha01,1954,1976,16,3771,755,2297,NULL,NULL,NULL,NULL,NULL,1
aaronto01,1962,1971,NULL,216,13,94,NULL,NULL,NULL,NULL,NULL,0
aasedo01,1977,1990,NULL,0,0,0,1085,468,89,457,641,0
abadan01,2001,2006,NULL,2,0,0,NULL,NULL,NULL,NULL,NULL,0
abadfe01,2010,2016,NULL,1,0,0,260,113,36,99,234,0
abadijo01,1875,1875,NULL,11,0,5,NULL,NULL,NULL,NULL,NULL,0
abbated01,1897,1910,NULL,772,11,324,NULL,NULL,NULL,NULL,NULL,0
abbeybe01,1892,1896,NULL,38,0,17,686,285,18,192,161,0
abbeych01,1893,1897,NULL,492,19,280,6,1,0,0,0,0
abbotda01,1890,1890,NULL,1,0,1,19,9,0,8,1,0
abbotfr01,1903,1905,NULL,107,1,49,NULL,NULL,NULL,NULL,NULL,0
abbotgl01,1973,1984,NULL,0,0,0,1405,627,162,352,484,0
abbotje01,1997,2001,NULL,157,18,83,NULL,NULL,NULL,NULL,NULL,0
abbotji01,1989,1999,2,2,0,3,1779,791,154,620,888,1
abbotku01,1993,2001,NULL,523,62,242,NULL,NULL,NULL,NULL,NULL,0
abbotky01,1991,1996,NULL,3,0,2,207,107,26,79,124,0
abbotod01,1910,1910,NULL,13,0,6,NULL,NULL,NULL,NULL,NULL,0
abbotpa01,1990,2004,NULL,5,0,2,682,394,101,393,496,0
aberal01,1950,1957,NULL,14,0,6,398,181,29,160,169,0
abercda01,1871,1871,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,0
abercre01,2006,2008,NULL,86,9,34,NULL,NULL,NULL,NULL,NULL,0
abernbi01,1952,1952,NULL,0,0,0,4,3,1,1,0,0
abernbr01,2001,2005,NULL,212,8,79,NULL,NULL,NULL,NULL,NULL,0
abernte01,1942,1944,NULL,1,0,0,31,25,0,17,13,0
abernte02,1955,1972,2,25,0,9,1010,441,70,592,765,0
abernwo01,1946,1947,NULL,0,0,0,36,17,5,11,6,0
