playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,class
aaronha01,1954,1976,3771,755,2297,NULL,NULL,NULL,NULL,16,1
abbotji01,1989,1999,2,0,3,254,1779,620,888,2,0
adamsba01,1906,1926,216,3,75,355,2841,430,1036,2,0
adamsbo03,1946,1959,1082,37,303,NULL,NULL,NULL,NULL,NULL,0
adamssp01,1922,1934,1588,9,394,NULL,NULL,NULL,NULL,NULL,0
ageeto01,1962,1973,999,130,433,NULL,NULL,NULL,NULL,3,0
aguilri01,1985,2000,28,3,11,89,1233,351,1030,NULL,0
akerja01,1964,1974,7,0,4,0,679,274,404,1,0
alexado01,1971,1989,44,0,17,464,3376,978,1528,NULL,0
alexape01,1911,1930,378,11,163,599,4868,951,2198,21,1
allenbe01,1962,1973,815,73,351,NULL,NULL,NULL,NULL,NULL,0
allendi01,1963,1977,1848,351,1119,NULL,NULL,NULL,NULL,5,0
allenjo02,1932,1944,124,4,64,241,1849,738,1070,4,0
alleyge01,1963,1973,999,55,342,NULL,NULL,NULL,NULL,4,0
allisdo01,1871,1883,381,2,140,0,11,1,0,NULL,0
alomaro01,1988,2004,2724,210,1134,NULL,NULL,NULL,NULL,21,1
alomasa02,1988,2007,1236,112,588,NULL,NULL,NULL,NULL,3,0
aloufe01,1958,1974,2101,206,852,NULL,NULL,NULL,NULL,1,0
alouje01,1963,1979,1216,32,377,NULL,NULL,NULL,NULL,NULL,0
alouma01,1960,1974,1777,31,427,0,3,1,3,1,0
aloumo01,1990,2008,2134,332,1287,NULL,NULL,NULL,NULL,5,0
altroni01,1898,1933,97,2,27,161,1455,272,425,NULL,0
anderbr01,1988,2002,1661,210,761,NULL,NULL,NULL,NULL,NULL,0
anderga01,1994,2010,2529,287,1365,NULL,NULL,NULL,NULL,5,0
ansonca01,1871,1897,3418,97,2076,0,4,2,1,NULL,1
aparilu01,1956,1973,2677,83,791,NULL,NULL,NULL,NULL,15,1
appieke01,1989,2004,8,0,4,402,2425,933,1994,NULL,0
applilu01,1930,1950,2749,45,1116,NULL,NULL,NULL,NULL,10,1
archeji01,1904,1918,660,16,296,NULL,NULL,NULL,NULL,9,0
ashburi01,1948,1962,2574,29,586,NULL,NULL,NULL,NULL,NULL,1
aurilri01,1995,2009,1576,186,756,NULL,NULL,NULL,NULL,2,0
ausmubr01,1993,2010,1579,80,607,NULL,NULL,NULL,NULL,3,0
austiji01,1909,1929,1328,13,390,NULL,NULL,NULL,NULL,NULL,0
averiea01,1929,1941,2019,238,1164,NULL,NULL,NULL,NULL,11,1
baergca01,1990,2005,1583,134,774,NULL,NULL,NULL,NULL,4,0
bagweje01,1991,2005,2314,449,1529,NULL,NULL,NULL,NULL,11,1
bahnsst01,1966,1982,56,1,19,327,2440,924,1359,1,0
bailebo01,1962,1978,1564,189,773,NULL,NULL,NULL,NULL,NULL,0
bailobo01,1975,1985,775,9,222,0,4,1,0,NULL,0
baineha01,1980,2001,2866,384,1628,NULL,NULL,NULL,NULL,4,0
bakerdu01,1968,1986,1981,242,1013,NULL,NULL,NULL,NULL,5,0
bakerfr01,1908,1922,1838,96,987,NULL,NULL,NULL,NULL,7,1
bancrda01,1915,1930,2004,32,591,NULL,NULL,NULL,NULL,8,1
bandosa01,1966,1981,1790,242,1039,0,3,0,0,2,0
bankser01,1953,1971,2583,512,1636,NULL,NULL,NULL,NULL,10,1
barbest01,1960,1974,65,5,27,272,1818,950,1309,NULL,0
barnero01,1871,1881,859,6,350,0,7,0,0,NULL,0
barrji01,1971,1983,83,1,31,252,2170,469,741,NULL,0
barryja01,1908,1919,1009,10,429,NULL,NULL,NULL,NULL,2,0
bartedi01,1927,1946,2165,79,710,NULL,NULL,NULL,NULL,2,0
bartobo01,1965,1974,237,9,66,NULL,NULL,NULL,NULL,NULL,0
battijo01,1871,1890,439,3,143,0,12,2,1,NULL,0
bauerha01,1948,1961,1424,164,703,NULL,NULL,NULL,NULL,NULL,0
baylodo01,1970,1988,2135,338,1276,NULL,NULL,NULL,NULL,9,0
beaucji01,1963,1973,153,14,90,NULL,NULL,NULL,NULL,NULL,0
beaumgi01,1899,1910,1759,39,617,NULL,NULL,NULL,NULL,NULL,0
beckegl01,1965,1975,1473,22,360,NULL,NULL,NULL,NULL,4,0
becklja01,1888,1907,2930,86,1575,1,9,1,2,NULL,1
beckro01,1991,2004,4,0,1,0,703,191,644,1,0
bedrost01,1981,1995,15,0,2,46,1026,518,921,3,0
belanma01,1965,1982,1316,20,389,NULL,NULL,NULL,NULL,9,0
bellbu01,1972,1989,2514,201,1106,NULL,NULL,NULL,NULL,10,0
bellco99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
belleal01,1989,2000,1726,381,1239,NULL,NULL,NULL,NULL,11,0
bellge02,1981,1993,1702,265,1002,NULL,NULL,NULL,NULL,8,0
bellja01,1986,2003,1963,195,860,NULL,NULL,NULL,NULL,3,0
benchjo01,1967,1983,2048,389,1376,NULL,NULL,NULL,NULL,26,1
bendech01,1903,1925,243,6,116,334,2645,712,1711,3,1
benitar01,1994,2008,0,0,2,0,545,403,946,2,0
bennech01,1878,1893,978,55,533,NULL,NULL,NULL,NULL,NULL,0
bentola01,1923,1935,122,2,42,258,2559,691,670,2,0
bergema01,1896,1899,339,10,176,NULL,NULL,NULL,NULL,NULL,0
bergewa01,1930,1940,1550,242,898,NULL,NULL,NULL,NULL,5,0
bergmo01,1923,1939,441,6,206,NULL,NULL,NULL,NULL,NULL,0
berrayo01,1946,1965,2150,358,1430,NULL,NULL,NULL,NULL,13,1
berrych02,1925,1938,539,23,256,NULL,NULL,NULL,NULL,NULL,0
berryke01,1962,1975,1053,58,343,NULL,NULL,NULL,NULL,2,0
bibbyji01,1972,1984,31,5,17,239,1565,723,1079,1,0
bicheda01,1988,2001,1906,274,1141,NULL,NULL,NULL,NULL,2,0
bigbeca01,1916,1926,1205,17,324,NULL,NULL,NULL,NULL,2,0
biggicr01,1988,2007,3060,291,1175,NULL,NULL,NULL,NULL,17,1
billija01,1968,1980,62,0,23,305,2272,750,1141,NULL,0
bishoma01,1924,1935,1216,41,379,NULL,NULL,NULL,NULL,NULL,0
blackew01,1942,1955,77,1,22,169,1150,562,839,3,0
bladera01,1922,1932,726,50,340,NULL,NULL,NULL,NULL,NULL,0
